0	0	0	0
0.0314	-2.70799e-06	-1.03187e-05	-7.61071e-06
0.0628	-5.41331e-06	-8.25252e-05	-7.71119e-05
0.0942	-8.11329e-06	-0.000278385	-0.000270272
0.1256	-1.08053e-05	-0.00065942	-0.000648615
0.157	-1.34866e-05	-0.00128679	-0.0012733
0.1884	-1.61546e-05	-0.00222116	-0.002205
0.2198	-1.88067e-05	-0.00352259	-0.00350378
0.2512	-2.14403e-05	-0.00525043	-0.00522899
0.2826	-2.40527e-05	-0.00746316	-0.00743911
0.314	-2.66413e-05	-0.0102183	-0.0101917
0.3454	-2.92038e-05	-0.0135724	-0.0135432
0.3768	-3.17374e-05	-0.0175806	-0.0175488
0.4082	-3.42397e-05	-0.0222969	-0.0222626
0.4396	-3.67082e-05	-0.0277738	-0.0277371
0.471	-3.91406e-05	-0.0340625	-0.0340233
0.5024	-4.15343e-05	-0.0412122	-0.0411707
0.5338	-4.38871e-05	-0.0492707	-0.0492268
0.5652	-4.61966e-05	-0.0582838	-0.0582376
0.5966	-4.84606e-05	-0.0682954	-0.0682469
0.628	-5.06767e-05	-0.0793473	-0.0792966
0.6594	-5.28429e-05	-0.0914794	-0.0914265
0.6908	-5.4957e-05	-0.104729	-0.104674
0.7222	-5.70168e-05	-0.119132	-0.119075
0.7536	-5.90205e-05	-0.134721	-0.134661
0.785	-6.09659e-05	-0.151525	-0.151464
0.8164	-6.28512e-05	-0.169574	-0.169512
0.8478	-6.46745e-05	-0.188893	-0.188828
0.8792	-6.64341e-05	-0.209504	-0.209437
0.9106	-6.81281e-05	-0.231426	-0.231358
0.942	-6.97549e-05	-0.254678	-0.254609
0.9734	-7.13129e-05	-0.279274	-0.279202
1.0048	-7.28006e-05	-0.305224	-0.305151
1.0362	-7.42165e-05	-0.332537	-0.332463
1.0676	-7.55592e-05	-0.361219	-0.361143
1.099	-7.68274e-05	-0.391272	-0.391195
1.1304	-7.80198e-05	-0.422696	-0.422617
1.1618	-7.91353e-05	-0.455486	-0.455407
1.1932	-8.01727e-05	-0.489636	-0.489556
1.2246	-8.1131e-05	-0.525136	-0.525055
1.256	-8.20093e-05	-0.561973	-0.561891
1.2874	-8.28067e-05	-0.600131	-0.600048
1.3188	-8.35225e-05	-0.63959	-0.639506
1.3502	-8.41558e-05	-0.680328	-0.680244
1.3816	-8.47062e-05	-0.722319	-0.722234
1.413	-8.5173e-05	-0.765534	-0.765449
1.4444	-8.55557e-05	-0.809941	-0.809856
1.4758	-8.58541e-05	-0.855506	-0.855421
1.5072	-8.60678e-05	-0.902191	-0.902105
1.5386	-8.61966e-05	-0.949953	-0.949867
1.57	-8.62404e-05	-0.998749	-0.998663
1.6014	-8.6199e-05	-1.04853	-1.04845
1.6328	-8.60727e-05	-1.09925	-1.09917
1.6642	-8.58614e-05	-1.15086	-1.15077
1.6956	-8.55654e-05	-1.20329	-1.2032
1.727	-8.5185e-05	-1.25649	-1.25641
1.7584	-8.47206e-05	-1.3104	-1.31032
1.7898	-8.41725e-05	-1.36496	-1.36488
1.8212	-8.35415e-05	-1.4201	-1.42001
1.8526	-8.28279e-05	-1.47574	-1.47566
1.884	-8.20327e-05	-1.53183	-1.53174
1.9154	-8.11565e-05	-1.58828	-1.5882
1.9468	-8.02002e-05	-1.64502	-1.64494
1.9782	-7.91647e-05	-1.70197	-1.70189
2.0096	-7.80512e-05	-1.75905	-1.75897
2.041	-7.68606e-05	-1.81619	-1.81611
2.0724	-7.55941e-05	-1.87329	-1.87321
2.1038	-7.4253e-05	-1.93027	-1.9302
2.1352	-7.28386e-05	-1.98705	-1.98698
2.1666	-7.13523e-05	-2.04354	-2.04347
2.198	-6.97956e-05	-2.09964	-2.09957
2.2294	-6.81699e-05	-2.15527	-2.1552
2.2608	-6.6477e-05	-2.21033	-2.21027
2.2922	-6.47183e-05	-2.26474	-2.26467
2.3236	-6.28958e-05	-2.31839	-2.31833
2.355	-6.10111e-05	-2.3712	-2.37114
2.3864	-5.90662e-05	-2.42306	-2.423
2.4178	-5.70629e-05	-2.47389	-2.47383
2.4492	-5.50032e-05	-2.52358	-2.52353
2.4806	-5.28892e-05	-2.57204	-2.57199
2.512	-5.07228e-05	-2.61918	-2.61913
2.5434	-4.85064e-05	-2.6649	-2.66485
2.5748	-4.62419e-05	-2.7091	-2.70905
2.6062	-4.39317e-05	-2.75169	-2.75165
2.6376	-4.15781e-05	-2.79257	-2.79253
2.669	-3.91832e-05	-2.83165	-2.83161
2.7004	-3.67496e-05	-2.86884	-2.8688
2.7318	-3.42796e-05	-2.90404	-2.904
2.7632	-3.17756e-05	-2.93716	-2.93713
2.7946	-2.92401e-05	-2.96811	-2.96808
2.826	-2.66756e-05	-2.99681	-2.99678
2.8574	-2.40846e-05	-3.02317	-3.02314
2.8888	-2.14696e-05	-3.0471	-3.04707
2.9202	-1.88332e-05	-3.06851	-3.0685
2.9516	-1.61781e-05	-3.08734	-3.08732
2.983	-1.35068e-05	-3.10349	-3.10348
3.0144	-1.0822e-05	-3.1169	-3.11689
3.0458	-8.12619e-06	-3.12748	-3.12747
3.0772	-5.42217e-06	-3.13517	-3.13517
3.1086	-2.71256e-06	-3.13989	-3.13989
0	0	0	0
