x,numerical,exact,error
0.725,0.574881,0.574825,5.55533e-05
0.73,0.565477,0.565421,5.5618e-05
0.735,0.556016,0.55596,5.56771e-05
0.74,0.5465,0.546444,5.57306e-05
0.745,0.536929,0.536873,5.57785e-05
0.75,0.527304,0.527248,5.58209e-05
0.755,0.517627,0.517571,5.58577e-05
0.76,0.507898,0.507842,5.58889e-05
0.765,0.498118,0.498062,5.59145e-05
0.77,0.488288,0.488232,5.59345e-05
0.775,0.478409,0.478353,5.5949e-05
0.78,0.468483,0.468427,5.59578e-05
0.785,0.45851,0.458454,5.59611e-05
0.79,0.448491,0.448435,5.59587e-05
0.795,0.438427,0.438371,5.59508e-05
0.8,0.428319,0.428263,5.59372e-05
0.805,0.418168,0.418112,5.59181e-05
0.81,0.407976,0.40792,5.58934e-05
0.815,0.397742,0.397687,5.5863e-05
0.82,0.387469,0.387414,5.58271e-05
0.825,0.377158,0.377102,5.57856e-05
0.83,0.366808,0.366752,5.57386e-05
0.835,0.356422,0.356366,5.56859e-05
0.84,0.346,0.345945,5.56277e-05
0.845,0.335544,0.335488,5.5564e-05
0.85,0.325054,0.324998,5.54946e-05
0.855,0.314531,0.314476,5.54197e-05
0.86,0.303978,0.303922,5.53393e-05
0.865,0.293393,0.293338,5.52534e-05
0.87,0.28278,0.282724,5.51619e-05
0.875,0.272138,0.272083,5.50649e-05
0.88,0.261468,0.261414,5.49624e-05
0.885,0.250773,0.250718,5.48544e-05
0.89,0.240053,0.239998,5.47409e-05
0.895,0.229308,0.229254,5.4622e-05
0.9,0.218541,0.218487,5.44975e-05
0.905,0.207752,0.207698,5.43677e-05
0.91,0.196942,0.196888,5.42324e-05
0.915,0.186112,0.186058,5.40916e-05
0.92,0.175264,0.17521,5.39455e-05
0.925,0.164398,0.164345,5.3794e-05
0.93,0.153516,0.153463,5.36371e-05
0.935,0.142619,0.142565,5.34748e-05
0.94,0.131707,0.131654,5.33072e-05
0.945,0.120782,0.120729,5.31342e-05
0.95,0.109845,0.109792,5.2956e-05
0.955,0.0988967,0.0988439,5.27724e-05
0.96,0.0879388,0.0878862,5.25836e-05
0.965,0.076972,0.0769197,5.23895e-05
0.97,0.0659976,0.0659454,5.21901e-05
0.975,0.0550166,0.0549646,5.19856e-05
0.98,0.0440301,0.0439783,5.17758e-05
0.985,0.0330391,0.0329876,5.15609e-05
0.99,0.0220449,0.0219935,5.13408e-05
0.995,0.0110484,0.0109973,5.11156e-05
1,0,0,0
